Credit,Date,Average Price,Closing Value
California LCFS Credit,1/25/2022,$150.00 ,$150.00 
Oregon CFP Credit,1/25/2022,$124.00 ,$124.00 
Oregon CFP Credit,1/24/2022,$124.00 ,$124.00 
California LCFS Credit,1/24/2022,$149.00 ,$150.00 
Oregon CFP Credit,1/21/2022,$124.00 ,$124.00 
California LCFS Credit,1/21/2022,$150.00 ,$150.00 
Oregon CFP Credit,1/19/2022,$124.00 ,$124.00 
California LCFS Credit,1/19/2022,$149.50 ,$149.50 
California LCFS Credit,1/18/2022,$146.00 ,$146.00 
Oregon CFP Credit,1/18/2022,$124.00 ,$124.00 
California LCFS Credit,1/14/2022,$149.00 ,$149.00 
Oregon CFP Credit,1/14/2022,$124.00 ,$124.00 
Oregon CFP Credit,1/12/2022,$124.00 ,$124.00 
California LCFS Credit,1/12/2022,$150.50 ,$151.00 
California LCFS Credit,1/11/2022,$152.00 ,$152.00 
Oregon CFP Credit,1/11/2022,$124.00 ,$124.00 
Oregon CFP Credit,1/7/2022,$124.00 ,$124.00 
California LCFS Credit,1/7/2022,$150.00 ,$152.00 
Oregon CFP Credit,1/6/2022,$124.00 ,$124.00 
California LCFS Credit,1/6/2022,$151.06 ,$152.50 
California LCFS Credit,1/5/2022,$149.29 ,$149.50 
Oregon CFP Credit,1/5/2022,$124.00 ,$124.00 
Oregon CFP Credit,1/4/2022,$124.00 ,$124.00 
California LCFS Credit,1/4/2022,$149.00 ,$149.00 
Oregon CFP Credit,12/30/2021,$124.00 ,$124.00 
California LCFS Credit,12/30/2021,$150.00 ,$150.00 
California LCFS Credit,12/29/2021,$148.00 ,$148.00 
Oregon CFP Credit,12/29/2021,$125.00 ,$125.00 
California LCFS Credit,12/22/2021,$145.00 ,$145.00 
Oregon CFP Credit,12/22/2021,$124.00 ,$124.00 
California LCFS Credit,12/21/2021,$144.00 ,$144.00 
Oregon CFP Credit,12/21/2021,$124.00 ,$124.00 
California LCFS Credit,12/15/2021,$148.00 ,$148.00 
Oregon CFP Credit,12/15/2021,$124.00 ,$124.00 
Oregon CFP Credit,12/14/2021,$124.00 ,$124.00 
California LCFS Credit,12/14/2021,$149.00 ,$150.00 
Oregon CFP Credit,12/13/2021,$124.00 ,$124.00 
California LCFS Credit,12/13/2021,$151.00 ,$152.00 
Oregon CFP Credit,12/10/2021,$124.00 ,$124.00 
California LCFS Credit,12/10/2021,$154.00 ,$154.00 
California LCFS Credit,12/9/2021,$151.42 ,$154.00 
Oregon CFP Credit,12/9/2021,$124.00 ,$124.00 
Oregon CFP Credit,12/8/2021,$124.00 ,$124.00 
California LCFS Credit,12/8/2021,$153.18 ,$153.00 
